p,n,lambda,time
2,120,0.01,0.09
2,120,0.1,0.136
2,120,0.25,0.022
2,120,0.4,0.021
2,120,0.5,0.02
2,120,0.6,0.02
2,120,0.75,0.022
2,120,1,0.02
2,160,0.01,2.493
2,160,0.1,3.766
2,160,0.25,2.794
2,160,0.4,2.198
2,160,0.5,2.299
2,160,0.6,2.397
2,160,0.75,2.244
2,160,1,2.584
2,200,0.01,6.835
2,200,0.1,9.166
2,200,0.25,8.625
2,200,0.4,7.555
2,200,0.5,10.598
2,200,0.6,8.381
2,200,0.75,12.049
2,200,1,13.792
4,45,0.01,0.498
4,45,0.1,0.547
4,45,0.25,0.657
4,45,0.4,0.451
4,45,0.5,0.528
4,45,0.6,0.369
4,45,0.75,0.495
4,45,1,0.509
4,60,0.01,4.104
4,60,0.1,4.283
4,60,0.25,2.705
4,60,0.4,2.255
4,60,0.5,1.602
4,60,0.6,1.758
4,60,0.75,3.241
4,60,1,6.496
4,75,0.01,4.461
4,75,0.1,5.529
4,75,0.25,2.888
4,75,0.4,3.687
4,75,0.5,5.083
4,75,0.6,6.367
4,75,0.75,8.281
4,75,1,7.986
6,20,0.01,0.235
6,20,0.1,0.162
6,20,0.25,0.159
6,20,0.4,0.184
6,20,0.5,0.162
6,20,0.6,0.228
6,20,0.75,0.245
6,20,1,0.235
6,30,0.01,2.447
6,30,0.1,3.059
6,30,0.25,3.072
6,30,0.4,3.794
6,30,0.5,3.584
6,30,0.6,4.403
6,30,0.75,5.242
6,30,1,6.277
6,35,0.01,10.781
6,35,0.1,6.92
6,35,0.25,6.785
6,35,0.4,8.932
6,35,0.5,11.534
6,35,0.6,16.936
6,35,0.75,23.034
6,35,1,25.344
